order_id,exchange,timestamp,security_code,price,side,changereason,orderstatus,quantity,leavesquantity,ordertype,exchangeordertype,national_bid,national_offer,bid,offer,participantid,preferenceonly,midtick,singlefillminimumquantity,minimumquantity,sequence,crossingkey,totalmatchedquantity,shortsellquantity,triggercondition,timevaliditydecoded,row_num,timevalidity,date
7901232681961407641,3,1725448941574323178,110621,4030,2,30,1,258,258,1,2048,3360,4000,3360,4000,54,0,2,0,0,160097,0,0,0,0,Current Max,12,1536,2024-09-04
7901232681961490896,3,1725448941580590788,110621,3830,2,30,1,2600,2600,1,2048,3360,3830,3360,3830,54,0,2,0,0,160445,0,0,0,0,Current Max,22,1536,2024-09-04
7901232681965693118,3,1725448941644103190,110621,4420,2,30,1,115,115,1,2048,3360,3800,3360,3800,54,0,2,0,0,163441,0,0,0,0,Current Max,44,1536,2024-09-04
7901627956391476809,3,1725448941681629338,110621,4450,2,30,1,5000,5000,1,2048,3360,3800,3360,3800,54,0,2,0,0,165249,0,0,0,0,Current Max,50,1536,2024-09-04
7901627956391477317,3,1725448941684943348,110621,4350,2,30,1,5000,5000,1,2048,3360,3760,3360,3760,54,0,2,0,0,165417,0,0,0,0,Current Max,54,1536,2024-09-04
7904005925164449974,3,1725448942569009506,110621,5150,2,30,1,1000,1000,1,2048,3360,3700,3360,3700,54,0,2,0,0,205073,0,0,0,0,Current Max,102,1536,2024-09-04
7904398175939685642,3,1725448943336900902,110621,3250,1,30,1,2000,2000,1,2048,3370,3450,3370,3450,54,0,2,0,0,238501,0,0,0,0,Current Max,204,1536,2024-09-04
7904398175940064135,3,1725448944043374014,110621,3380,1,9,2,3000,3000,1,2048,3400,3410,3400,3410,54,0,2,0,0,275672,0,0,0,0,Negative indicator Purged Rest of Day,395,49408,2024-09-04
7904398175940869691,3,1725448944043374014,110621,3370,1,9,2,100,100,1,2048,3400,3410,3400,3410,54,0,2,0,0,275777,0,0,0,0,Negative indicator Purged Rest of Day,396,49408,2024-09-04
7904398175941086189,3,1725448944043374014,110621,3300,1,9,2,5000,5000,1,2048,3400,3410,3400,3410,54,0,2,0,0,275815,0,0,0,0,Negative indicator Purged Rest of Day,398,49408,2024-09-04
7904398175941378231,3,1725448944043374014,110621,3390,1,9,2,7000,7000,1,64,3400,3410,3400,3410,75,2,2,2,0,275852,0,0,0,0,Negative indicator Purged Rest of Day,400,49408,2024-09-04
7904398175942455363,3,1725448943478382961,110621,3380,1,30,1,130,130,1,2048,3390,3450,3390,3450,54,0,2,0,0,245249,0,0,0,0,Current Max,260,1536,2024-09-04
7904398175942498259,3,1725448943480373968,110621,3390,1,30,1,1000,1000,1,2048,3390,3450,3390,3450,54,0,2,0,0,245373,0,0,0,0,Current Max,262,1536,2024-09-04
7904398175943086536,3,1725448943513062589,110621,3400,1,30,1,294,294,1,2048,3400,3450,3400,3450,54,0,2,0,0,247205,0,0,0,0,Current Max,278,1536,2024-09-04
7904398175947644382,3,1725448943806100203,110621,3370,1,30,1,3000,3000,1,2048,3400,3430,3400,3430,54,0,2,0,0,261389,0,0,0,0,Current Max,338,1536,2024-09-04
7904398175947649732,3,1725448944043374014,110621,3400,1,9,2,5443,5443,1,2048,3400,3410,3400,3410,146,0,2,0,0,277247,2,0,0,0,Negative indicator Purged Rest of Day,408,49408,2024-09-04
7904398175947649762,3,1725448944043374014,110621,3430,2,9,2,5443,5443,1,2048,3400,3410,3400,3410,146,0,2,0,0,277252,2,0,0,0,Negative indicator Purged Rest of Day,409,49408,2024-09-04
7904398175947845177,3,1725448944043374014,110621,3400,1,9,2,1059,1059,1,2048,3400,3410,3400,3410,146,0,2,0,0,278017,2,0,0,0,Negative indicator Purged Rest of Day,418,49408,2024-09-04
7904398175947845178,3,1725448944043374014,110621,3430,2,9,2,1059,1059,1,2048,3400,3410,3400,3410,146,0,2,0,0,278018,2,0,0,0,Negative indicator Purged Rest of Day,419,49408,2024-09-04
7904398175948028571,3,1725448944043374014,110621,3390,1,9,2,15222,15222,1,2048,3400,3410,3400,3410,146,0,2,0,0,278897,2,0,0,0,Negative indicator Purged Rest of Day,423,49408,2024-09-04
7904398175948028582,3,1725448944043374014,110621,3380,1,9,2,5470,5470,1,2048,3400,3410,3400,3410,146,0,2,0,0,278900,2,0,0,0,Negative indicator Purged Rest of Day,424,49408,2024-09-04
