order_id,exchange,timestamp,security_code,price,side,changereason,orderstatus,quantity,leavesquantity,ordertype,exchangeordertype,national_bid,national_offer,bid,offer,participantid,preferenceonly,midtick,singlefillminimumquantity,minimumquantity,sequence,crossingkey,totalmatchedquantity,shortsellquantity,triggercondition,timevaliditydecoded,row_num,timevalidity,date
7898856358160837782,2,1725448941024284297,85603,134510,1,30,1,200,200,1,2048,134510,143500,134510,143500,54,0,2,0,0,72467,0,0,0,0,Current Max,56,1536,2024-09-04
7898856358160881486,2,1725448941027251034,85603,130000,1,30,1,5,5,1,2048,134510,143500,134510,143500,54,0,2,0,0,72571,0,0,0,0,Current Max,66,1536,2024-09-04
7898856358160918329,2,1725448941029855785,85603,122010,1,30,1,205,205,1,2048,134510,143500,134510,143500,54,0,2,0,0,72631,0,0,0,0,Current Max,76,1536,2024-09-04
7898856358160920205,2,1725448941029988629,85603,135500,1,30,1,250,250,1,2048,135500,143500,135500,143500,54,0,2,0,0,72643,0,0,0,0,Current Max,80,1536,2024-09-04
7898856358160949267,2,1725448941032057156,85603,125000,1,30,1,193,193,1,2048,135500,143500,135500,143500,54,0,2,0,0,72711,0,0,0,0,Current Max,86,1536,2024-09-04
7898856358161678927,2,1725448941049143448,85603,135000,1,30,1,10,10,1,2048,135500,143500,135500,143500,54,0,2,0,0,73239,0,0,0,0,Current Max,156,1536,2024-09-04
7898856358161694490,2,1725448941049352978,85603,127000,1,30,1,100,100,1,2048,135500,143500,135500,143500,54,0,2,0,0,73243,0,0,0,0,Days,158,1355,2024-09-04
7898856358162877776,2,1725448941072848506,85603,130990,1,30,1,500,500,1,2048,135610,143500,135610,143500,54,0,2,0,0,73675,0,0,0,0,Current Max,208,1536,2024-09-04
7898856358164525251,2,1725448941097892783,85603,135710,1,30,1,110,110,1,2048,135710,143500,135710,143500,54,0,2,0,0,74219,0,0,0,0,Current Max,256,1536,2024-09-04
7898856358164555097,2,1725448941098473684,85603,134520,1,30,1,200,200,1,2048,135710,143500,135710,143500,54,0,2,0,0,74227,0,0,0,0,Current Max,258,1536,2024-09-04
7899253831614196548,2,1725448944043374014,85603,131610,1,9,2,7,7,1,2048,139700,140100,139700,140100,54,0,2,0,0,132729,0,0,0,0,Purged Days,1905,17664,2024-09-04
7899253831614196571,2,1725448941102307851,85603,135820,1,30,1,150,150,1,2048,135820,143500,135820,143500,54,0,2,0,0,74323,0,0,0,0,Current Max,264,1536,2024-09-04
7899253831614196619,2,1725448941102466769,85603,110000,1,30,1,9,9,1,2048,135820,143500,135820,143500,54,0,2,0,0,74335,0,0,0,0,Current Max,266,1536,2024-09-04
7899253831614196678,2,1725448941102809708,85603,126000,1,30,1,7,7,1,2048,135820,143500,135820,143500,54,0,2,0,0,74343,0,0,0,0,Current Max,268,1536,2024-09-04
7899253831614196901,2,1725448941104694214,85603,106100,1,30,1,9,9,1,2048,135820,143500,135820,143500,54,0,2,0,0,74403,0,0,0,0,Days,276,1355,2024-09-04
7899253831614196947,2,1725448941105094449,85603,128000,1,30,1,12,12,1,2048,135820,143500,135820,143500,54,0,2,0,0,74423,0,0,0,0,Current Max,278,1536,2024-09-04
7899253831614197003,2,1725448941105643746,85603,128980,1,30,1,77,77,1,2048,135820,143500,135820,143500,54,0,2,0,0,74447,0,0,0,0,Days,280,1297,2024-09-04
7899253831614197068,2,1725448941106150182,85603,134000,1,30,1,2,2,1,2048,135820,143500,135820,143500,54,0,2,0,0,74455,0,0,0,0,Current Max,282,1536,2024-09-04
7899253831614197122,2,1725448941106543957,85603,148000,2,30,1,600,600,1,2048,135820,143500,135820,143500,54,0,2,0,0,74475,0,0,0,0,Current Max,284,1536,2024-09-04
7899253831614197322,2,1725448941107706019,85603,116000,1,30,1,600,600,1,2048,135820,143500,135820,143500,54,0,2,0,0,74511,0,0,0,0,Current Max,288,1536,2024-09-04
7899253831614215309,2,1725448941125949298,85603,130000,1,30,1,500,500,1,2048,135820,143500,135820,143500,54,0,2,0,0,74911,0,0,0,0,Current Max,340,1536,2024-09-04
7899253831615157483,2,1725448941166573550,85603,130000,1,30,1,300,300,1,2048,135820,141000,135820,141000,54,0,2,0,0,75791,0,0,0,0,Days,376,1303,2024-09-04
7899253831615182100,2,1725448941167297513,85603,131100,1,30,1,200,200,1,2048,135820,141000,135820,141000,54,0,2,0,0,75819,0,0,0,0,Current Max,384,1536,2024-09-04
7899253831615193542,2,1725448941167512531,85603,126600,1,30,1,200,200,1,2048,135820,141000,135820,141000,54,0,2,0,0,75827,0,0,0,0,Current Max,386,1536,2024-09-04
7899253831616479619,2,1725448941196871519,85603,148000,2,30,1,200,200,1,2048,135820,141000,135820,141000,54,0,2,0,0,76283,0,0,0,0,Current Max,394,1536,2024-09-04
7899253831617014990,2,1725448941207229023,85603,130000,1,30,1,1000,1000,1,2048,135820,141000,135820,141000,54,0,2,0,0,76499,0,0,0,0,Current Max,400,1536,2024-09-04
7900722229393087046,2,1725448941373883031,85603,133000,1,30,1,2,2,1,2048,135820,141000,135820,141000,54,0,2,0,0,79063,0,0,0,0,Current Max,442,1536,2024-09-04
7900722229393087393,2,1725448941377226058,85603,136000,1,30,1,1,1,1,2048,136000,141000,136000,141000,54,0,2,0,0,79151,0,0,0,0,Current Max,444,1536,2024-09-04
7900722229393087657,2,1725448941379839211,85603,96000,1,30,1,100,100,1,2048,136000,141000,136000,141000,54,0,2,0,0,79223,0,0,0,0,Current Max,448,1536,2024-09-04
7900722229393087763,2,1725448941381095819,85603,149000,2,30,1,100,100,1,2048,136000,141000,136000,141000,54,0,2,0,0,79263,0,0,0,0,Current Max,450,1536,2024-09-04
7900722229393087823,2,1725448941381791129,85603,136010,1,30,1,7,7,1,2048,136010,141000,136010,141000,54,0,2,0,0,79291,0,0,0,0,Current Max,452,1536,2024-09-04
7900722229395687027,2,1725448941513921545,85603,143670,2,30,1,1200,1200,1,2048,137500,141000,137500,141000,54,0,2,0,0,81935,0,0,0,0,Days,520,1359,2024-09-04
7900722229395881555,2,1725448941518443275,85603,145000,2,30,1,144,144,1,2048,137500,141000,137500,141000,54,0,2,0,0,82019,0,0,0,0,Current Max,522,1536,2024-09-04
7901232677666282113,2,1725448941534280324,85603,145000,2,30,1,50,50,1,2048,137500,141000,137500,141000,54,0,2,0,0,82359,0,0,0,0,Current Max,532,1536,2024-09-04
7901232677666282533,2,1725448941538049112,85603,86980,1,30,1,1,1,1,2048,137500,141000,137500,141000,54,0,2,0,0,82443,0,0,0,0,Current Max,536,1536,2024-09-04
7901232677668727738,2,1725448941659676153,85603,144000,2,30,1,69,69,1,2048,137500,141000,137500,141000,54,0,2,0,0,84879,0,0,0,0,Current Max,578,1536,2024-09-04
7901627952097069218,2,1725448941757856972,85603,135000,1,30,1,4,4,1,2048,137500,141000,137500,141000,54,0,2,0,0,86383,0,0,0,0,Current Max,608,1536,2024-09-04
7901627952098393185,2,1725448941809369097,85603,138010,1,30,1,200,200,1,2048,138010,141000,138010,141000,54,0,2,0,0,87287,0,0,0,0,Current Max,644,1536,2024-09-04
7902022951648750209,2,1725448941849516792,85603,137680,1,30,1,10,10,1,2048,138010,141000,138010,141000,54,0,2,0,0,88067,0,0,0,0,Current Max,668,1536,2024-09-04
7902022951648854409,2,1725448941892380495,85603,136820,1,30,1,1000,1000,1,2048,138010,141000,138010,141000,54,0,2,0,0,88775,0,0,0,0,Current Max,680,1536,2024-09-04
7902022951649691170,2,1725448941948071790,85603,138500,1,30,1,266,266,1,2048,138500,141000,138500,141000,54,0,2,0,0,89715,0,0,0,0,Current Max,692,1536,2024-09-04
7902022951650139634,2,1725448941968051488,85603,136000,1,30,1,400,400,1,2048,138500,141000,138500,141000,54,0,2,0,0,90063,0,0,0,0,Current Max,698,1536,2024-09-04
7902022951650141566,2,1725448941968241467,85603,130490,1,30,1,700,700,1,2048,138500,141000,138500,141000,54,0,2,0,0,90067,0,0,0,0,Current Max,700,1536,2024-09-04
7902418775834744956,2,1725448942034646927,85603,130000,1,30,1,4,4,1,2048,138600,141000,138600,141000,54,0,2,0,0,91387,0,0,0,0,Current Max,732,1536,2024-09-04
7902418775835206661,2,1725448942116848310,85603,145000,2,30,1,70,70,1,2048,138600,141000,138600,141000,54,0,2,0,0,92855,0,0,0,0,Current Max,756,1536,2024-09-04
7902418775835603246,2,1725448942145271975,85603,137320,1,30,1,200,200,1,2048,138600,141000,138600,141000,54,0,2,0,0,93307,0,0,0,0,Current Max,766,1536,2024-09-04
7902418775835806745,2,1725448942156273164,85603,130000,1,30,1,145,145,1,2048,138600,141000,138600,141000,54,0,2,0,0,93487,0,0,0,0,Days,770,1289,2024-09-04
7903493273572993729,2,1725448942243547750,85603,147710,2,30,1,17,17,1,2048,138600,141000,138600,141000,54,0,2,0,0,94891,0,0,0,0,Current Max,796,1536,2024-09-04
7903493273572993967,2,1725448942247150482,85603,149990,2,30,1,1000,1000,1,2048,138600,141000,138600,141000,54,0,2,0,0,94987,0,0,0,0,Current Max,800,1536,2024-09-04
7903493273573006821,2,1725448942336168057,85603,139000,1,30,1,7,7,1,2048,139000,141000,139000,141000,54,0,2,0,0,96883,0,0,0,0,Current Max,836,1536,2024-09-04
7903493273573583129,2,1725448942405101749,85603,138800,1,30,1,5,5,1,2048,139000,141000,139000,141000,54,0,2,0,0,98267,0,0,0,0,Current Max,854,1536,2024-09-04
7903493273574524184,2,1725448942471599151,85603,137000,1,30,1,2200,2200,1,2048,139000,141000,139000,141000,54,0,2,0,0,99867,0,0,0,0,Current Max,872,1536,2024-09-04
7903493273574774009,2,1725448942489064851,85603,144610,2,30,1,2087,2087,1,2048,139000,141000,139000,141000,54,0,2,0,0,100311,0,0,0,0,Current Max,884,1536,2024-09-04
7903493273575090206,2,1725448942505945689,85603,137550,1,30,1,27,27,1,2048,139000,141000,139000,141000,54,0,2,0,0,100771,0,0,0,0,Days,890,1366,2024-09-04
7903493273575904291,2,1725448942543812915,85603,146910,2,30,1,2,2,1,2048,139000,141000,139000,141000,54,0,2,0,0,101703,0,0,0,0,Current Max,914,1536,2024-09-04
7903493273576104227,2,1725448942552231277,85603,132000,1,30,1,200,200,1,2048,139000,141000,139000,141000,54,0,2,0,0,101903,0,0,0,0,Days,924,1303,2024-09-04
7904005920869443890,2,1725448942562249316,85603,135000,1,30,1,3650,3650,1,2048,139000,141000,139000,141000,54,0,2,0,0,102135,0,0,0,0,Current Max,928,1536,2024-09-04
7904005920869444227,2,1725448942567516110,85603,145000,2,30,1,8,8,1,2048,139000,141000,139000,141000,54,0,2,0,0,102283,0,0,0,0,Current Max,930,1536,2024-09-04
7904005920869444349,2,1725448942569598768,85603,136600,1,30,1,530,530,1,2048,139000,141000,139000,141000,54,0,2,0,0,102351,0,0,0,0,Current Max,932,1536,2024-09-04
