orderid,orderbookid,qty_filled,order_quantity,fill_ratio,fill_rate_pct,num_fills,avg_fill_size,fill_status,vwap,arrival_midpoint,arrival_bid,arrival_offer,arrival_spread,arrival_spread_bps,limit_price,price_improvement,price_improvement_bps,exec_cost_arrival_bps,exec_cost_vw_bps,effective_spread_pct,slippage_bps,implementation_shortfall_bps,total_execution_value,order_timestamp,first_fill_time,last_fill_time,time_to_first_fill_sec,execution_duration_sec,total_duration_sec,avg_time_between_fills,vw_exec_time_sec,first_fill_midpoint,last_fill_midpoint,market_drift_bps,avg_execution_spread_bps,spread_volatility_bps,price_volatility_bps,date,orderbookid_partition,ticker
7900722229395881555,85603,48.0,144.0,0.3333333333333333,33.33333333333333,3.0,16.0,Partially Filled,140640.0,140560.0,140550.0,140570.0,20.0,1.4228799089356858,140640.0,0.0,0.0,-5.691519635742743,-0.7110858280594469,800.0,-5.691519635742743,5.691519635742743,6750720.0,1725508483455950282,1725508436226344809,1725508439500739473,0.0,3.274394664,0.0,1.637197332,0.0,140630.0,140630.0,0.0,1.4221716561188937,0.0,0.0,2024-09-05,85603,cba
7904793995828941952,85603,11.0,40.0,0.275,27.500000000000004,1.0,11.0,Partially Filled,140840.0,140900.0,140850.0,140950.0,100.0,7.097232079488999,140840.0,0.0,0.0,-4.258339247693399,-4.258339247693399,120.0,-4.258339247693399,-4.258339247693399,1549240.0,1725494565453703348,1725494563989299698,1725494563989299698,0.0,0.0,0.0,0.0,0.0,140900.0,140900.0,0.0,8.516678495386799,0.0,0.0,2024-09-05,85603,cba
7904793995828942449,85603,38.0,50.0,0.76,76.0,1.0,38.0,Partially Filled,140800.0,140865.0,140800.0,140930.0,130.0,9.228694139779222,140800.0,0.0,0.0,-4.614347069889611,-4.614347069889611,100.0,-4.614347069889611,-4.614347069889611,5350400.0,1725494569145266565,1725494569145088778,1725494569145088778,0.0,0.0,0.0,0.0,0.0,140865.0,140865.0,0.0,9.228694139779222,0.0,0.0,2024-09-05,85603,cba
7904793995828942521,85603,11.0,26.0,0.4230769230769231,42.30769230769231,1.0,11.0,Partially Filled,140950.0,140745.0,140700.0,140790.0,90.0,6.394543323031014,140950.0,0.0,0.0,-14.565348680237308,-3.193641105709521,455.55555555555554,-14.565348680237308,14.565348680237308,1550450.0,1725494570822539611,1725494568180173462,1725494568180173462,0.0,0.0,0.0,0.0,0.0,140905.0,140905.0,0.0,6.387282211419041,0.0,0.0,2024-09-05,85603,cba
7904793995828949476,85603,2.0,13.0,0.15384615384615385,15.384615384615385,1.0,2.0,Partially Filled,140440.0,140605.0,140580.0,140630.0,50.0,3.556061306496924,140440.0,0.0,0.0,-11.73500231143985,-3.2031889525572126,660.0,-11.73500231143985,-11.73500231143985,280880.0,1725494691438274935,1725494612186839069,1725494612186839069,0.0,0.0,0.0,0.0,0.0,140485.0,140485.0,0.0,6.406377905114425,0.0,0.0,2024-09-05,85603,cba
7904793995828955202,85603,10.0,25.0,0.4,40.0,1.0,10.0,Partially Filled,140480.0,140950.0,140940.0,140960.0,20.0,1.4189428875487762,140480.0,0.0,0.0,-33.34515785739624,-3.557959154628905,4700.0,-33.34515785739624,-33.34515785739624,1404800.0,1725494960447970720,1725494646041237996,1725494646041237996,0.0,0.0,0.0,0.0,0.0,140530.0,140530.0,0.0,7.11591830925781,0.0,0.0,2024-09-05,85603,cba
7904793995828967999,85603,1.0,9.0,0.1111111111111111,11.11111111111111,1.0,1.0,Partially Filled,140630.0,140610.0,140600.0,140620.0,20.0,1.4223739421093806,140630.0,0.0,0.0,-1.4223739421093806,-1.778030653248462,200.0,-1.4223739421093806,1.4223739421093806,140630.0,1725494704327448375,1725494699259119786,1725494699259119786,0.0,0.0,0.0,0.0,0.0,140605.0,140605.0,0.0,3.556061306496924,0.0,0.0,2024-09-05,85603,cba
7904793995828973315,85603,10.0,14.0,0.7142857142857143,71.42857142857143,1.0,10.0,Partially Filled,140720.0,140590.0,140560.0,140620.0,60.0,4.2677288569599545,140720.0,0.0,0.0,-9.246745856746568,-1.066060196865783,433.3333333333333,-9.246745856746568,9.246745856746568,1407200.0,1725494733326867669,1725494723758843417,1725494723758843417,0.0,0.0,0.0,0.0,0.0,140705.0,140705.0,0.0,2.132120393731566,0.0,0.0,2024-09-05,85603,cba
7904793995828982578,85603,11.0,18.0,0.6111111111111112,61.111111111111114,1.0,11.0,Partially Filled,140760.0,140720.0,140710.0,140730.0,20.0,1.4212620807276861,140760.0,0.0,0.0,-2.8425241614553722,-1.4210601108426886,400.0,-2.8425241614553722,2.8425241614553722,1548360.0,1725494784468920107,1725494773212410384,1725494773212410384,0.0,0.0,0.0,0.0,0.0,140740.0,140740.0,0.0,2.842120221685377,0.0,0.0,2024-09-05,85603,cba
7904793995828988506,85603,22.0,25.0,0.88,88.0,1.0,22.0,Partially Filled,140680.0,140640.0,140620.0,140660.0,40.0,2.844141069397042,140680.0,0.0,0.0,-2.844141069397042,-2.132954141485958,200.0,-2.844141069397042,2.844141069397042,3094960.0,1725494794039526729,1725494790147509877,1725494790147509877,0.0,0.0,0.0,0.0,0.0,140650.0,140650.0,0.0,4.265908282971916,0.0,0.0,2024-09-05,85603,cba
7904793995828993037,85603,13.0,52.0,0.25,25.0,2.0,6.5,Partially Filled,140670.0,140625.0,140620.0,140630.0,10.0,0.711111111111111,140670.0,0.0,0.0,-3.2,-1.4219694276573054,900.0,-3.2,3.2,1828710.0,1725494822620349744,1725494804034825036,1725494808535684394,0.0,4.500859358,0.0,4.500859358,0.0,140650.0,140650.0,0.0,2.8439388553146108,0.0,0.0,2024-09-05,85603,cba
7904793995829011298,85603,9.0,76.0,0.11842105263157894,11.842105263157894,1.0,9.0,Partially Filled,140730.0,140865.0,140850.0,140880.0,30.0,2.1296986476413586,140830.0,100.0,7.100759781296598,-9.583643914386114,-1.7761358388689568,900.0,-9.583643914386114,-9.583643914386114,1266570.0,1725494908495278406,1725494896999404631,1725494896999404631,0.0,0.0,0.0,0.0,0.0,140755.0,140755.0,0.0,3.5522716777379135,0.0,0.0,2024-09-05,85603,cba
7904793995829013548,85603,17.0,50.0,0.34,34.0,1.0,17.0,Partially Filled,140870.0,140850.0,140830.0,140870.0,40.0,2.8399006034788785,140870.0,0.0,0.0,-1.4199503017394393,-1.4199503017394393,100.0,-1.4199503017394393,1.4199503017394393,2394790.0,1725494906100823758,1725494906100350760,1725494906100350760,0.0,0.0,0.0,0.0,0.0,140850.0,140850.0,0.0,2.8399006034788785,0.0,0.0,2024-09-05,85603,cba
7904793995829013657,85603,18.0,24.0,0.75,75.0,1.0,18.0,Partially Filled,140870.0,140850.0,140830.0,140870.0,40.0,2.8399006034788785,140870.0,0.0,0.0,-1.4199503017394393,-1.4199503017394393,100.0,-1.4199503017394393,1.4199503017394393,2535660.0,1725494907181149701,1725494907175031044,1725494907175031044,0.0,0.0,0.0,0.0,0.0,140850.0,140850.0,0.0,2.8399006034788785,0.0,0.0,2024-09-05,85603,cba
7904793995829016884,85603,7.0,25.0,0.28,28.000000000000004,1.0,7.0,Partially Filled,140850.0,140820.0,140790.0,140850.0,60.0,4.260758414997869,140850.0,0.0,0.0,-2.1303792074989345,-2.1303792074989345,100.0,-2.1303792074989345,2.1303792074989345,985950.0,1725494920280808018,1725494920275463014,1725494920275463014,0.0,0.0,0.0,0.0,0.0,140820.0,140820.0,0.0,4.260758414997869,0.0,0.0,2024-09-05,85603,cba
7904793995829016973,85603,19.0,25.0,0.76,76.0,1.0,19.0,Partially Filled,140840.0,140820.0,140790.0,140850.0,60.0,4.260758414997869,140840.0,0.0,0.0,-1.42025280499929,-1.7753790434257712,66.66666666666666,-1.42025280499929,1.42025280499929,2675960.0,1725494920364629904,1725494920287997395,1725494920287997395,0.0,0.0,0.0,0.0,0.0,140815.0,140815.0,0.0,3.5507580868515425,0.0,0.0,2024-09-05,85603,cba
7904793995829019977,85603,18.0,25.0,0.72,72.0,1.0,18.0,Partially Filled,140880.0,140860.0,140840.0,140880.0,40.0,2.839698991906858,140880.0,0.0,0.0,-1.419849495953429,-1.419849495953429,100.0,-1.419849495953429,1.419849495953429,2535840.0,1725494947932167245,1725494947932016009,1725494947932016009,0.0,0.0,0.0,0.0,0.0,140860.0,140860.0,0.0,2.839698991906858,0.0,0.0,2024-09-05,85603,cba
7904793995829034881,85603,18.0,50.0,0.36,36.0,1.0,18.0,Partially Filled,141120.0,141100.0,141080.0,141120.0,40.0,2.8348688873139616,141120.0,0.0,0.0,-1.4174344436569808,-2.12630236019562,100.0,-1.4174344436569808,1.4174344436569808,2540160.0,1725494978469912566,1725494976077359391,1725494976077359391,0.0,0.0,0.0,0.0,0.0,141090.0,141090.0,0.0,4.25260472039124,0.0,0.0,2024-09-05,85603,cba
7904793995829045978,85603,16.0,25.0,0.64,64.0,1.0,16.0,Partially Filled,141160.0,141145.0,141130.0,141160.0,30.0,2.1254738035353715,141160.0,0.0,0.0,-1.0627369017676858,-1.0627369017676858,100.0,-1.0627369017676858,1.0627369017676858,2258560.0,1725495010287432193,1725495010287312960,1725495010287312960,0.0,0.0,0.0,0.0,0.0,141145.0,141145.0,0.0,2.1254738035353715,0.0,0.0,2024-09-05,85603,cba
7904793995829047272,85603,23.0,25.0,0.92,92.0,1.0,23.0,Partially Filled,141140.0,141205.0,141170.0,141240.0,70.0,4.9573315392514425,141140.0,0.0,0.0,-4.6032364293049115,-2.8332625017707893,185.71428571428572,-4.6032364293049115,-4.6032364293049115,3246220.0,1725495038346914980,1725495014390712652,1725495014390712652,0.0,0.0,0.0,0.0,0.0,141180.0,141180.0,0.0,2.833262501770789,0.0,0.0,2024-09-05,85603,cba
