EXCHANGE,sequence,tradedate,tradetime,securitycode,orderid,dealsource,dealsourcedecoded,exchangeinfo,matchgroupid,nationalbidpricesnapshot,nationalofferpricesnapshot,tradeprice,quantity,side,sidedecoded,participantid,passiveaggressive,row_num
3,3113624,2024-09-05,1725494536001032398,110621,7904794000124046634,20,Auction,ON Market,7904794000123498546,3330,3340,3340,1,1,Buy,8,0,1
3,3113625,2024-09-05,1725494536001032398,110621,7904794000123705673,20,Auction,ON Market,7904794000123498546,3330,3340,3340,1,2,Sell,61,0,2
3,3113626,2024-09-05,1725494536001032398,110621,7904794000124046634,20,Auction,ON Market,7904794000123498547,3330,3340,3340,75,1,Buy,8,0,3
3,3113627,2024-09-05,1725494536001032398,110621,7904794000123705907,20,Auction,ON Market,7904794000123498547,3330,3340,3340,75,2,Sell,61,0,4
3,3113628,2024-09-05,1725494536001032398,110621,7904794000124046634,20,Auction,ON Market,7904794000123498548,3330,3340,3340,7683,1,Buy,8,0,5
3,3113629,2024-09-05,1725494536001032398,110621,7904794000123908165,20,Auction,ON Market,7904794000123498548,3330,3340,3340,7683,2,Sell,47,0,6
3,3113630,2024-09-05,1725494536001032398,110621,7904794000124046634,20,Auction,ON Market,7904794000123498549,3330,3340,3340,2103,1,Buy,8,0,7
3,3113631,2024-09-05,1725494536001032398,110621,7904794000123920594,20,Auction,ON Market,7904794000123498549,3330,3340,3340,2103,2,Sell,47,0,8
3,3113632,2024-09-05,1725494536001032398,110621,7904794000123886067,20,Auction,ON Market,7904794000123498550,3330,3340,3340,1,1,Buy,51,0,9
3,3113633,2024-09-05,1725494536001032398,110621,7904794000123920594,20,Auction,ON Market,7904794000123498550,3330,3340,3340,1,2,Sell,47,0,10
3,3113634,2024-09-05,1725494536001032398,110621,7904794000123916517,20,Auction,ON Market,7904794000123498551,3330,3340,3340,1,1,Buy,51,0,11
3,3113635,2024-09-05,1725494536001032398,110621,7904794000123920594,20,Auction,ON Market,7904794000123498551,3330,3340,3340,1,2,Sell,47,0,12
3,3113636,2024-09-05,1725494536001032398,110621,7904794000123932081,20,Auction,ON Market,7904794000123498552,3330,3340,3340,350,1,Buy,51,0,13
3,3113637,2024-09-05,1725494536001032398,110621,7904794000123920594,20,Auction,ON Market,7904794000123498552,3330,3340,3340,350,2,Sell,47,0,14
3,3113638,2024-09-05,1725494536001032398,110621,7904794000123936929,20,Auction,ON Market,7904794000123498553,3330,3340,3340,125,1,Buy,51,0,15
3,3113639,2024-09-05,1725494536001032398,110621,7904794000123920594,20,Auction,ON Market,7904794000123498553,3330,3340,3340,125,2,Sell,47,0,16
3,3113640,2024-09-05,1725494536001032398,110621,7904794000123936929,20,Auction,ON Market,7904794000123498554,3330,3340,3340,2726,1,Buy,51,0,17
3,3113641,2024-09-05,1725494536001032398,110621,7904794000123957469,20,Auction,ON Market,7904794000123498554,3330,3340,3340,2726,2,Sell,47,0,18
3,3113642,2024-09-05,1725494536001032398,110621,7904794000123941628,20,Auction,ON Market,7904794000123498555,3330,3340,3340,1708,1,Buy,51,0,19
3,3113643,2024-09-05,1725494536001032398,110621,7904794000123957469,20,Auction,ON Market,7904794000123498555,3330,3340,3340,1708,2,Sell,47,0,20
3,3113644,2024-09-05,1725494536001032398,110621,7904794000123942269,20,Auction,ON Market,7904794000123498556,3330,3340,3340,892,1,Buy,51,0,21
3,3113645,2024-09-05,1725494536001032398,110621,7904794000123957469,20,Auction,ON Market,7904794000123498556,3330,3340,3340,892,2,Sell,47,0,22
3,3113646,2024-09-05,1725494536001032398,110621,7904794000123943497,20,Auction,ON Market,7904794000123498557,3330,3340,3340,483,1,Buy,51,0,23
3,3113647,2024-09-05,1725494536001032398,110621,7904794000123957469,20,Auction,ON Market,7904794000123498557,3330,3340,3340,483,2,Sell,47,0,24
3,3113648,2024-09-05,1725494536001032398,110621,7904794000123943497,20,Auction,ON Market,7904794000123498558,3330,3340,3340,298,1,Buy,51,0,25
3,3113649,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498558,3330,3340,3340,298,2,Sell,47,0,26
3,3113650,2024-09-05,1725494536001032398,110621,7904794000123952224,20,Auction,ON Market,7904794000123498559,3330,3340,3340,13,1,Buy,51,0,27
3,3113651,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498559,3330,3340,3340,13,2,Sell,47,0,28
3,3113652,2024-09-05,1725494536001032398,110621,7904794000123958569,20,Auction,ON Market,7904794000123498560,3330,3340,3340,891,1,Buy,51,0,29
3,3113653,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498560,3330,3340,3340,891,2,Sell,47,0,30
3,3113654,2024-09-05,1725494536001032398,110621,7904794000123961463,20,Auction,ON Market,7904794000123498561,3330,3340,3340,891,1,Buy,51,0,31
3,3113655,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498561,3330,3340,3340,891,2,Sell,47,0,32
3,3113656,2024-09-05,1725494536001032398,110621,7904794000123963250,20,Auction,ON Market,7904794000123498562,3330,3340,3340,495,1,Buy,51,0,33
3,3113657,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498562,3330,3340,3340,495,2,Sell,47,0,34
3,3113658,2024-09-05,1725494536001032398,110621,7904794000123964499,20,Auction,ON Market,7904794000123498563,3330,3340,3340,241,1,Buy,51,0,35
3,3113659,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498563,3330,3340,3340,241,2,Sell,47,0,36
3,3113660,2024-09-05,1725494536001032398,110621,7904794000123982047,20,Auction,ON Market,7904794000123498564,3330,3340,3340,890,1,Buy,51,0,37
3,3113661,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498564,3330,3340,3340,890,2,Sell,47,0,38
3,3113662,2024-09-05,1725494536001032398,110621,7904794000124058089,20,Auction,ON Market,7904794000123498565,3330,3340,3340,1178,1,Buy,51,0,39
3,3113663,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498565,3330,3340,3340,1178,2,Sell,47,0,40
3,3113664,2024-09-05,1725494536001032398,110621,7904794000124078074,20,Auction,ON Market,7904794000123498566,3330,3340,3340,37,1,Buy,51,0,41
3,3113665,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498566,3330,3340,3340,37,2,Sell,47,0,42
3,3113666,2024-09-05,1725494536001032398,110621,7904794000124081051,20,Auction,ON Market,7904794000123498567,3330,3340,3340,3,1,Buy,51,0,43
3,3113667,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498567,3330,3340,3340,3,2,Sell,47,0,44
3,3113668,2024-09-05,1725494536001032398,110621,7904794000124083437,20,Auction,ON Market,7904794000123498568,3330,3340,3340,1,1,Buy,51,0,45
3,3113669,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498568,3330,3340,3340,1,2,Sell,47,0,46
3,3113670,2024-09-05,1725494536001032398,110621,7904794000124090500,20,Auction,ON Market,7904794000123498569,3330,3340,3340,493,1,Buy,51,0,47
3,3113671,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498569,3330,3340,3340,493,2,Sell,47,0,48
3,3113672,2024-09-05,1725494536001032398,110621,7904794000124092633,20,Auction,ON Market,7904794000123498570,3330,3340,3340,99,1,Buy,51,0,49
3,3113673,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498570,3330,3340,3340,99,2,Sell,47,0,50
3,3113674,2024-09-05,1725494536001032398,110621,7904794000124113149,20,Auction,ON Market,7904794000123498571,3330,3340,3340,238,1,Buy,51,0,51
3,3113675,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498571,3330,3340,3340,238,2,Sell,47,0,52
3,3113676,2024-09-05,1725494536001032398,110621,7904794000124114280,20,Auction,ON Market,7904794000123498572,3330,3340,3340,240,1,Buy,51,0,53
3,3113677,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498572,3330,3340,3340,240,2,Sell,47,0,54
3,3113678,2024-09-05,1725494536001032398,110621,7904794000124119474,20,Auction,ON Market,7904794000123498573,3330,3340,3340,1017,1,Buy,51,0,55
3,3113679,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498573,3330,3340,3340,1017,2,Sell,47,0,56
3,3113680,2024-09-05,1725494536001032398,110621,7904794000124128342,20,Auction,ON Market,7904794000123498574,3330,3340,3340,7,1,Buy,51,0,57
3,3113681,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498574,3330,3340,3340,7,2,Sell,47,0,58
3,3113682,2024-09-05,1725494536001032398,110621,7904794000123881961,20,Auction,ON Market,7904794000123498575,3330,3340,3340,3000,1,Buy,69,0,59
3,3113683,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498575,3330,3340,3340,3000,2,Sell,47,0,60
3,3113684,2024-09-05,1725494536001032398,110621,7904794000123902278,20,Auction,ON Market,7904794000123498576,3330,3340,3340,48,1,Buy,61,0,61
3,3113685,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498576,3330,3340,3340,48,2,Sell,47,0,62
3,3113686,2024-09-05,1725494536001032398,110621,7904794000124114787,20,Auction,ON Market,7904794000123498577,3330,3340,3340,8741,1,Buy,67,0,63
3,3113687,2024-09-05,1725494536001032398,110621,7904794000124028775,20,Auction,ON Market,7904794000123498577,3330,3340,3340,8741,2,Sell,47,0,64
3,3113688,2024-09-05,1725494536001032398,110621,7904794000124114787,20,Auction,ON Market,7904794000123498578,3330,3340,3340,3853,1,Buy,67,0,65
3,3113689,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498578,3330,3340,3340,3853,2,Sell,47,0,66
3,3113690,2024-09-05,1725494536001032398,110621,7904794000123751956,20,Auction,ON Market,7904794000123498579,3330,3340,3340,190,1,Buy,67,0,67
3,3113691,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498579,3330,3340,3340,190,2,Sell,47,0,68
3,3113692,2024-09-05,1725494536001032398,110621,7904794000123853024,20,Auction,ON Market,7904794000123498580,3330,3340,3340,144,1,Buy,67,0,69
3,3113693,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498580,3330,3340,3340,144,2,Sell,47,0,70
3,3113694,2024-09-05,1725494536001032398,110621,7904794000124119338,20,Auction,ON Market,7904794000123498581,3330,3340,3340,788,1,Buy,61,0,71
3,3113695,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498581,3330,3340,3340,788,2,Sell,47,0,72
3,3113696,2024-09-05,1725494536001032398,110621,7904794000123849814,20,Auction,ON Market,7904794000123498582,3330,3340,3340,853,1,Buy,42,0,73
3,3113697,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498582,3330,3340,3340,853,2,Sell,47,0,74
3,3113698,2024-09-05,1725494536001032398,110621,7904794000123889782,20,Auction,ON Market,7904794000123498583,3330,3340,3340,1616,1,Buy,42,0,75
3,3113699,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498583,3330,3340,3340,1616,2,Sell,47,0,76
3,3113700,2024-09-05,1725494536001032398,110621,7904794000123922396,20,Auction,ON Market,7904794000123498584,3330,3340,3340,25,1,Buy,42,0,77
3,3113701,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498584,3330,3340,3340,25,2,Sell,47,0,78
3,3113702,2024-09-05,1725494536001032398,110621,7904794000123914895,20,Auction,ON Market,7904794000123498585,3330,3340,3340,819,1,Buy,42,0,79
3,3113703,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498585,3330,3340,3340,819,2,Sell,47,0,80
3,3113704,2024-09-05,1725494536001032398,110621,7904794000123945665,20,Auction,ON Market,7904794000123498586,3330,3340,3340,102,1,Buy,42,0,81
3,3113705,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498586,3330,3340,3340,102,2,Sell,47,0,82
3,3113706,2024-09-05,1725494536001032398,110621,7904794000123984694,20,Auction,ON Market,7904794000123498587,3330,3340,3340,645,1,Buy,42,0,83
3,3113707,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498587,3330,3340,3340,645,2,Sell,47,0,84
3,3113708,2024-09-05,1725494536001032398,110621,7904794000124080513,20,Auction,ON Market,7904794000123498588,3330,3340,3340,132,1,Buy,42,0,85
3,3113709,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498588,3330,3340,3340,132,2,Sell,47,0,86
3,3113710,2024-09-05,1725494536001032398,110621,7904794000124112667,20,Auction,ON Market,7904794000123498589,3330,3340,3340,1608,1,Buy,67,0,87
3,3113711,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498589,3330,3340,3340,1608,2,Sell,47,0,88
3,3113712,2024-09-05,1725494536001032398,110621,7904794000124112912,20,Auction,ON Market,7904794000123498590,3330,3340,3340,3234,1,Buy,67,0,89
3,3113713,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498590,3330,3340,3340,3234,2,Sell,47,0,90
3,3113714,2024-09-05,1725494536001032398,110621,7904794000124114572,20,Auction,ON Market,7904794000123498591,3330,3340,3340,1656,1,Buy,146,0,91
3,3113715,2024-09-05,1725494536001032398,110621,7904794000124078611,20,Auction,ON Market,7904794000123498591,3330,3340,3340,1656,2,Sell,47,0,92
3,3113716,2024-09-05,1725494536001032398,110621,7904794000124114572,20,Auction,ON Market,7904794000123498592,3330,3340,3340,4098,1,Buy,146,0,93
3,3113717,2024-09-05,1725494536001032398,110621,7904794000124063686,20,Auction,ON Market,7904794000123498592,3330,3340,3340,4098,2,Sell,47,0,94
